item_id,trait,facet,pole,item_text
ipip4,A,Trust,fwd,I trust others
ipip34,A,Trust,fwd,I believe that others have good intentions
ipip64,A,Trust,fwd,I trust what people say
ipip94,A,Trust,fwd,I believe that people are basically moral
ipip124,A,Trust,fwd,I believe in human goodness
ipip154,A,Trust,fwd,I think that all will be well
ipip184,A,Trust,rev,I distrust people
ipip214,A,Trust,rev,I suspect hidden motives in others
ipip244,A,Trust,rev,I am wary of others
ipip274,A,Trust,rev,I believe that people are essentially evil
ipip9,A,Moral,fwd,I would never cheat on my taxes
ipip39,A,Moral,fwd,I stick to the rules
ipip69,A,Moral,rev,I use flattery to get ahead
ipip99,A,Moral,rev,I use others for my own ends
ipip129,A,Moral,rev,I know how to get around the rules
ipip159,A,Moral,rev,I cheat to get ahead
ipip189,A,Moral,rev,I put people under pressure
ipip219,A,Moral,rev,I pretend to be concerned for others
ipip249,A,Moral,rev,I take advantage of others
ipip279,A,Moral,rev,I obstruct others' plans
ipip14,A,Altru,fwd,I make people feel welcome
ipip44,A,Altru,fwd,I anticipate the needs of others
ipip74,A,Altru,fwd,I love to help others
ipip104,A,Altru,fwd,I am concerned about others
ipip134,A,Altru,fwd,I have a good word for everyone
ipip164,A,Altru,rev,I look down on others
ipip194,A,Altru,rev,I am indifferent to the feelings of others
ipip224,A,Altru,rev,I make people feel uncomfortable
ipip254,A,Altru,rev,I turn my back on others
ipip284,A,Altru,rev,I take no time for others
ipip19,A,Cooper,fwd,I am easy to satisfy
ipip49,A,Cooper,fwd,I can't stand confrontations
ipip79,A,Cooper,fwd,I hate to seem pushy
ipip109,A,Cooper,rev,I have a sharp tongue
ipip139,A,Cooper,rev,I contradict others
ipip169,A,Cooper,rev,I love a good fight
ipip199,A,Cooper,rev,I yell at people
ipip229,A,Cooper,rev,I insult people
ipip259,A,Cooper,rev,I get back at others
ipip289,A,Cooper,rev,I hold a grudge
ipip24,A,Modest,fwd,I dislike being the center of attention
ipip54,A,Modest,fwd,I dislike talking about myself
ipip84,A,Modest,fwd,I consider myself an average person
ipip114,A,Modest,fwd,I seldom toot my own horn
ipip144,A,Modest,rev,I believe that I am better than others
ipip174,A,Modest,rev,I think highly of myself
ipip204,A,Modest,rev,I have a high opinion of myself
ipip234,A,Modest,rev,I know the answers to many questions
ipip264,A,Modest,rev,I boast about my virtues
ipip294,A,Modest,rev,I make myself the center of attention
ipip29,A,Sympath,fwd,I sympathize with the homeless
ipip59,A,Sympath,fwd,I feel sympathy for those who are worse off than myself
ipip89,A,Sympath,fwd,I value cooperation over competition
ipip119,A,Sympath,fwd,I suffer from others' sorrows
ipip149,A,Sympath,rev,I am not interested in other people's problems
ipip179,A,Sympath,rev,I tend to dislike soft-hearted people
ipip209,A,Sympath,rev,I believe in an eye for an eye
ipip239,A,Sympath,rev,I try not to think about the needy
ipip269,A,Sympath,rev,I believe people should fend for themselves
ipip299,A,Sympath,rev,I can't stand weak people
ipip5,C,Self-Eff,fwd,I complete tasks successfully
ipip35,C,Self-Eff,fwd,I excel in what I do
ipip65,C,Self-Eff,fwd,I handle tasks smoothly
ipip95,C,Self-Eff,fwd,I am sure of my ground
ipip125,C,Self-Eff,fwd,I come up with good solutions
ipip155,C,Self-Eff,fwd,I know how to get things done
ipip185,C,Self-Eff,rev,I misjudge situations
ipip215,C,Self-Eff,rev,I don't understand things
ipip245,C,Self-Eff,rev,I have little to contribute
ipip275,C,Self-Eff,rev,I don't see the consequences of things
ipip10,C,Order,fwd,I like order
ipip40,C,Order,fwd,I like to tidy up
ipip70,C,Order,fwd,"I want everything to be ""just right"""
ipip100,C,Order,fwd,I love order and regularity
ipip130,C,Order,fwd,I do things according to a plan
ipip160,C,Order,rev,I often forget to put things back in their proper place
ipip190,C,Order,rev,I leave a mess in my room
ipip220,C,Order,rev,I leave my belongings around
ipip250,C,Order,rev,I am not bothered by messy people
ipip280,C,Order,rev,I am not bothered by disorder
ipip15,C,Dutiful,fwd,I try to follow the rules
ipip45,C,Dutiful,fwd,I keep my promises
ipip75,C,Dutiful,fwd,I pay my bills on time
ipip105,C,Dutiful,fwd,I tell the truth
ipip135,C,Dutiful,fwd,I listen to my conscience
ipip165,C,Dutiful,rev,I break rules
ipip195,C,Dutiful,rev,I break my promises
ipip225,C,Dutiful,rev,I get others to do my duties
ipip255,C,Dutiful,rev,I do the opposite of what is asked
ipip285,C,Dutiful,rev,I misrepresent the facts
ipip20,C,Achieve,fwd,I go straight for the goal
ipip50,C,Achieve,fwd,I work hard
ipip80,C,Achieve,fwd,I turn plans into actions
ipip110,C,Achieve,fwd,I plunge into tasks with all my heart
ipip140,C,Achieve,fwd,I do more than what's expected of me
ipip170,C,Achieve,fwd,I set high standards for myself and others
ipip200,C,Achieve,fwd,I demand quality
ipip230,C,Achieve,rev,I am not highly motivated to succeed
ipip260,C,Achieve,rev,I do just enough work to get by
ipip290,C,Achieve,rev,I put little time and effort into my work
ipip25,C,Discipl,fwd,I get chores done right away
ipip55,C,Discipl,fwd,I am always prepared
ipip85,C,Discipl,fwd,I start tasks right away
ipip115,C,Discipl,fwd,I get to work at once
ipip145,C,Discipl,fwd,I carry out my plans
ipip175,C,Discipl,rev,I find it difficult to get down to work
ipip205,C,Discipl,rev,I waste my time
ipip235,C,Discipl,rev,I need a push to get started
ipip265,C,Discipl,rev,I have difficulty starting tasks
ipip295,C,Discipl,rev,I postpone decisions
ipip30,C,Caution,fwd,I avoid mistakes
ipip60,C,Caution,fwd,I choose my words with care
ipip90,C,Caution,fwd,I stick to my chosen path
ipip120,C,Caution,rev,I jump into things without thinking
ipip150,C,Caution,rev,I make rash decisions
ipip180,C,Caution,rev,I like to act on a whim
ipip210,C,Caution,rev,I rush into things
ipip240,C,Caution,rev,I do crazy things
ipip270,C,Caution,rev,I act without thinking
ipip300,C,Caution,rev,I often make last-minute plans
ipip2,E,Friend,fwd,I make friends easily
ipip32,E,Friend,fwd,I warm up quickly to others
ipip62,E,Friend,fwd,I feel comfortable around people
ipip92,E,Friend,fwd,I act comfortably with others
ipip122,E,Friend,fwd,I cheer people up
ipip152,E,Friend,rev,I am hard to get to know
ipip182,E,Friend,rev,I often feel uncomfortable around others
ipip212,E,Friend,rev,I avoid contacts with others
