prompt_text,measure_id,measure_name,scale_id,item_id,item_preamble_id,item_postamble_id,response_scale_id,response_choice_postamble_id,model_id,model_output,valid_prob_mass,logprob_1,logprob_2,logprob_3,logprob_4,logprob_5
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Considering the statement, ""Does things quickly and carefully"", please rate how much you agree on a scale from 1 to 5 (where 1 = ""disagree strongly"", 2 = ""disagree a little"", 3 = ""neither agree nor disagree"", 4 = ""agree a little"", and 5 = ""agree strongly"").

RATING: ",BFI,Big Five Inventory,BFI-CON,bf33,d19-cs6,plk-bfi-9,likert5_numeric,none,llama2:7b-chat,5,0.9175016622206199,-5.1201887130737305,-7.850430488586426,-1.5066040754318237,-1.874796748161316,-0.6234539747238159
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Considering the statement, ""Get nervous easily"", please rate your level of agreement on a scale from 1 to 5 (where 1 = ""disagree strongly"", 2 = ""disagree a little"", 3 = ""neither agree nor disagree"", 4 = ""agree a little"", and 5 = ""agree strongly"").

RATING: ",BFI,Big Five Inventory,BFI-NEU,bf39,d19-cs6,plk-bfi-3,likert5_numeric,none,llama2:7b-chat,5,0.8904809189327664,-5.023830413818359,-7.625449180603027,-2.012399435043335,-2.350900411605835,-0.42394042015075684
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Considering the statement, ""I consider myself an average person"", please rate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-AGR,ipip84,d19-cs6,plk-ipip-9,likert5_numeric,none,llama2:7b-chat,3,0.9232951773450766,-5.138342380523682,-7.158140659332275,-0.9775225520133972,-1.7745654582977295,-0.9919573664665222
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Considering the statement, ""I seldom joke around"", please rate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-EXT,ipip297,d19-cs6,plk-ipip-9,likert5_numeric,none,llama2:7b-chat,5,0.9254183399306726,-5.225556373596191,-7.483672142028809,-1.603144884109497,-2.1001617908477783,-0.5178844928741455
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Considering the statement, ""Notices other people's weak points"", please rate how much you agree on a scale from 1 to 5 (where 1 = ""disagree strongly"", 2 = ""disagree a little"", 3 = ""neither agree nor disagree"", 4 = ""agree a little"", and 5 = ""agree strongly"").

RATING: ",BFI,Big Five Inventory,BFI-AGR,bf2,d19-cs6,plk-bfi-9,likert5_numeric,none,llama2:7b-chat,5,0.9388592828610353,-5.874435901641846,-8.4359130859375,-2.6397509574890137,-2.9852709770202637,-0.20588445663452148
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Considering the statement, ""[REDACTED]"", please rate your level of agreement or disagreement on a scale from 1 to 5 (where 1 = ""strongly disagree"", 2 = ""disagree"", 3 = ""neither agree nor disagree"", 4 = ""agree"", 5 = ""strongly agree"").

RATING: ",SSCS,Short Scale of Creative Self,CSE,sscs4,d19-cs6,plk-sscs-103,likert5_numeric,none,llama2:7b-chat,5,0.7294538793964871,-5.612278461456299,-7.822930812835693,-2.0192551612854004,-1.8514008522033691,-0.8309635519981384
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Evaluating the statement, ""I have a vivid imagination"", please indicate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-OPE,ipip3,d19-ev2,plk-ipip-103,likert5_numeric,none,llama2:7b-chat,5,0.9837906808515761,-5.594404220581055,-7.997222900390625,-1.5325299501419067,-2.1993484497070312,-0.42637455463409424
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Evaluating the statement, ""[REDACTED]"", rate how characteristic this is of you on a scale from 1 to 5 (where 1 = ""extremely uncharacteristic of me"", 2 = ""uncharacteristic of me"", 3 = ""neither characteristic nor uncharacteristic of me"", 4 = ""characteristic of me"", and 5 = ""extremely characteristic of me"").

RATING: ",BPAQ,Buss-Perry Aggression Questionnaire,VRBL,bpaq12,d19-ev2,plk-bpaq-0,likert5_numeric,none,llama2:7b-chat,4,0.9733609761889752,-6.015811920166016,-7.730090141296387,-1.1863936185836792,-0.7874449491500854,-1.5599077939987183
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Reflecting on the statement, ""I dislike talking about myself"", please rate how accurately this describes you a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-AGR,ipip54,d19-rf2,plk-ipip-0,likert5_numeric,none,llama2:7b-chat,5,0.8968719042944157,-4.297220706939697,-7.843020915985107,-1.7328189611434937,-2.4293313026428223,-0.48127973079681396
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Regarding the statement, ""I like to get lost in thought"", please rate how accurately this describes you a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-OPE,ipip93,d19-rg6,plk-ipip-0,likert5_numeric,none,llama2:7b-chat,5,0.9727473454845714,-5.903757572174072,-8.78321361541748,-2.2773680686950684,-2.2712111473083496,-0.26902520656585693
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Regarding the statement, ""[REDACTED]"", please rate how characteristic this is of you on a scale from 1 to 5 (where 1 = ""extremely uncharacteristic of me"", 2 = ""uncharacteristic of me"", 3 = ""neither characteristic nor uncharacteristic of me"", 4 = ""characteristic of me"", and 5 = ""extremely characteristic of me"").

RATING: ",BPAQ,Buss-Perry Aggression Questionnaire,VRBL,bpaq10,d19-rg6,plk-bpaq-3,likert5_numeric,none,llama2:7b-chat,3,0.9658290469214881,-5.414917945861816,-7.4133405685424805,-1.0985748767852783,-1.1448357105255127,-1.173915147781372
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Thinking about the statement, ""I do not have a good imagination"", please rate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-OPE,ipip213,d19-th2,plk-ipip-9,likert5_numeric,none,llama2:7b-chat,5,0.9451299969960143,-4.2711334228515625,-6.681591033935547,-0.9320355653762817,-2.6628189086914062,-0.7626954317092896
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Thinking about the statement, ""I love flowers"", please rate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-OPE,ipip98,d19-th2,plk-ipip-9,likert5_numeric,none,llama2:7b-chat,5,0.9654031152465052,-5.5233473777771,-7.771265506744385,-1.1179966926574707,-2.2014260292053223,-0.6473909020423889
"For the following task, respond in a way that matches this description: ""I am a vegan. I love country music. I love the beach. I like to read."". Thinking about the statement, ""I love life"", please rate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-EXT,ipip147,d19-th2,plk-ipip-109,likert5_numeric,none,llama2:7b-chat,5,0.9537074545024435,-4.914095401763916,-7.253474712371826,-1.0863605737686157,-2.1960864067077637,-0.6992107629776001
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Considering the statement, ""I am comfortable in unfamiliar situations"", please indicate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-NEU,ipip226,d42-cs6,plk-ipip-103,likert5_numeric,none,llama2:7b-chat,5,0.956549480117164,-4.6798858642578125,-7.504267692565918,-1.9515572786331177,-2.7655794620513916,-0.2987748682498932
